Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Batuhan,2024-08-31 00:48:46,00:00:05,Autoplayed: user action: User_Interaction; ,Lucifer: Season 2: Stewardess Interruptus (Episode 11),,Sony PS5,00:27:07,Not latest view,TR (Turkey)
Batuhan,2024-08-31 00:48:42,00:00:02,Autoplayed: user action: None; ,Lucifer: Season 2: Stewardess Interruptus (Episode 11),,Sony PS5,00:27:03,Not latest view,TR (Turkey)
Batuhan,2024-08-31 00:44:13,00:04:14,,Green Snake,,Sony PS5,00:04:14,00:04:14,TR (Turkey)
Batuhan,2024-08-31 00:43:54,00:00:08,Autoplayed: user action: None; ,Season 1 Teaser 1: Wednesday,TEASER_TRAILER,Sony PS5,00:00:08,Not latest view,TR (Turkey)
Batuhan,2024-08-31 00:43:07,00:00:02,,Locke & Key: Season 2: The Premiere (Episode 1),,Sony PS5,00:00:02,00:00:02,TR (Turkey)
Batuhan,2024-08-31 00:40:35,00:02:30,,Season 1 Recap: Locke & Key,RECAP,Sony PS5,00:02:30,00:02:30,TR (Turkey)
Batuhan,2024-08-31 00:40:20,00:00:03,Autoplayed: user action: None; ,Locke & Key: Season 1: Welcome to Matheson (Episode 1),,Sony PS5,00:00:03,00:00:03,TR (Turkey)
Batuhan,2024-08-31 00:40:09,00:00:01,Autoplayed: user action: None; ,Peaky Blinders: Season 1: Episode 1,,Sony PS5,00:00:01,00:00:01,TR (Turkey)
Batuhan,2024-08-31 00:40:05,00:00:02,Autoplayed: user action: None; ,Locke & Key: Season 1: Welcome to Matheson (Episode 1),,Sony PS5,00:00:02,Not latest view,TR (Turkey)
Batuhan,2024-08-31 00:39:56,00:00:08,Autoplayed: user action: None; ,Locke & Key: Season 1 - Upper Bound Clip 6,HOOK,Sony PS5,00:00:08,00:00:08,TR (Turkey)
Batuhan,2024-08-31 00:39:10,00:00:12,Autoplayed: user action: None; ,Season 1 Plot Clip: Erşan Kuneri,HOOK,Sony PS5,00:00:12,Not latest view,TR (Turkey)
Batuhan,2024-08-31 00:38:06,00:00:47,Autoplayed: user action: None; ,Trailer: The School for Good and Evil,TRAILER,Sony PS5,00:00:47,Not latest view,TR (Turkey)
Batuhan,2024-08-31 00:37:54,00:00:04,Autoplayed: user action: None; ,Cursed: Season 1_VAR2-RECIPE-1_EDITOR2,TEASER_TRAILER,Sony PS5,00:00:04,00:00:04,TR (Turkey)
Batuhan,2024-08-31 00:37:44,00:00:04,Autoplayed: user action: None; ,Cursed: Season 1_VAR2-RECIPE-1_EDITOR2,TEASER_TRAILER,Sony PS5,00:00:04,Not latest view,TR (Turkey)
Batuhan,2024-08-31 00:37:01,00:00:01,Autoplayed: user action: None; ,Rick and Morty: Season 1: Pilot (Episode 1),,Sony PS5,00:00:01,Not latest view,TR (Turkey)
Batuhan,2024-08-31 00:36:55,00:00:04,Autoplayed: user action: None; ,Rick and Morty: Season 1 - CLM 9,HOOK,Sony PS5,00:00:04,00:00:04,TR (Turkey)
Batuhan,2024-08-31 00:36:37,00:00:05,Autoplayed: user action: None; ,Season 3 Cliffhanger Clip: SnowpiercerSeason 3,HOOK,Sony PS5,00:00:05,00:00:05,TR (Turkey)
Batuhan,2024-08-31 00:29:44,00:00:22,Autoplayed: user action: None; ,Genre Specific Moment Clip 2: Damsel,HOOK,Sony PS5,00:00:22,Not latest view,TR (Turkey)
Batuhan,2024-08-31 00:29:02,00:00:07,,Trailer: Monster Hunter: Legends of the Guild,TRAILER,Sony PS5,00:00:07,00:00:07,TR (Turkey)
Batuhan,2024-08-31 00:28:42,00:00:15,Autoplayed: user action: User_Interaction; ,Monster Hunter: Legends of the Guild,,Sony PS5,00:00:15,00:00:15,TR (Turkey)
Batuhan,2024-08-31 00:28:19,00:00:06,Autoplayed: user action: None; ,Villain / Antagonist Clip: Green Snake,HOOK,Sony PS5,00:00:06,Not latest view,TR (Turkey)
Batuhan,2024-08-31 00:27:23,00:00:05,Autoplayed: user action: None; ,October Faction: Season 1 (Trailer),TRAILER,Sony PS5,00:00:05,00:00:05,TR (Turkey)
Batuhan,2024-08-31 00:26:31,00:00:22,Autoplayed: user action: None; ,Howl’s Moving Castle_hook_03_16x9,HOOK,Sony PS5,00:00:22,00:00:22,TR (Turkey)
Batuhan,2024-08-31 00:25:52,00:00:06,Autoplayed: user action: None; ,Season 1 Trailer: Farzar: Season 1,TRAILER,Sony PS5,00:00:06,00:00:06,TR (Turkey)
Batuhan,2024-08-31 00:24:55,00:00:01,Autoplayed: user action: None; ,Jumanji: Welcome to the Jungle,,Sony PS5,00:00:01,Not latest view,TR (Turkey)
Batuhan,2024-08-31 00:24:42,00:00:04,Autoplayed: user action: None; ,Act 2 Conflict Clip: The Adam Project,HOOK,Sony PS5,00:00:04,00:00:04,TR (Turkey)
Batuhan,2024-08-31 00:24:38,00:00:01,Autoplayed: user action: None; ,Bright,,Sony PS5,00:00:01,00:00:01,TR (Turkey)
Batuhan,2024-08-31 00:24:01,00:00:15,Autoplayed: user action: None; ,Inciting Incident Clip: Warriors of Future,HOOK,Sony PS5,00:00:15,00:00:15,TR (Turkey)
Batuhan,2024-08-31 00:23:51,00:00:08,Autoplayed: user action: None; ,Double World_hook_04_16x9,HOOK,Sony PS5,00:00:08,00:00:08,TR (Turkey)
